Model,Average,ARC,HellaSwag,MMLU,TruthfulQA,Type,Precision,#Params (B)
Yi-34B,70.72,64.59,85.69,76.35,56.23,pretrained,torch.bfloat16,34.0
falcon-180B,68.74,69.8,88.95,70.54,45.67,pretrained,torch.bfloat16,179.52
falcon-180B,68.7,69.71,88.98,70.44,45.66,pretrained,torch.float16,179.52
falcon-180B,68.57,69.45,88.86,70.5,45.47,pretrained,8bit,179.52
falcon-180B,68.21,69.2,88.89,69.59,45.16,pretrained,4bit,179.52
Llama-2-70b-hf,67.35,67.32,87.33,69.83,44.92,pretrained,torch.float16,68.98
tigerbot-70b-base,66.08,62.46,83.61,65.49,52.76,pretrained,torch.float16,68.95
internlm-20b,64.27,60.49,82.13,61.85,52.61,pretrained,torch.float16,20.0
llama-65b,64.23,63.48,86.09,63.93,43.43,pretrained,torch.float16,65.29
llama-65b,64.23,63.48,86.09,63.93,43.43,pretrained,torch.float16,65.29
Mistral-7B-v0.1,62.4,59.98,83.31,64.16,42.15,pretrained,torch.float16,7.11
llama-30b,61.68,61.26,84.73,58.47,42.27,pretrained,torch.float16,32.53
falcon-40b,61.48,61.95,85.28,56.98,41.72,pretrained,torch.bfloat16,41.3
mpt-30b-chat,60.94,58.36,82.41,50.98,52.0,pretrained,torch.bfloat16,29.96
Yi-6B,59.42,55.55,76.42,63.85,41.86,pretrained,torch.bfloat16,6.0
Qwen-7B,59.37,51.37,78.47,59.84,47.79,pretrained,torch.bfloat16,7.72
tora-13b-v1.0,59.06,58.96,82.31,54.73,40.25,pretrained,torch.float16,12.85
Llama-2-13b-hf,58.66,59.39,82.13,55.77,37.38,pretrained,torch.float16,13.02
Llama-2-13B-fp16,58.63,59.3,82.15,55.67,37.39,pretrained,torch.float16,12.85
openbuddy-llama2-13b-v11.1-bf16,58.5,51.62,76.23,56.45,49.7,pretrained,torch.float16,12.88
leo-hessianai-13b,57.72,57.25,81.94,53.65,38.03,pretrained,torch.float16,12.85
llama-2-26b-trenchcoat-stack,57.29,55.03,79.9,53.73,40.48,pretrained,torch.float16,25.7
tigerbot-13b-base,57.13,53.84,77.05,53.57,44.06,pretrained,torch.bfloat16,13.0
Llama-2-13b-hf,56.9,58.11,80.97,54.34,34.17,pretrained,4bit,13.02
mpt-30b,56.15,55.89,82.41,47.93,38.38,pretrained,torch.float16,29.96
llama-13b,56.08,56.23,80.93,47.67,39.48,pretrained,torch.float16,13.02
