Dtype,Optimizations,Quantization,Class,Type,Memory (MB),Throughput (tokens/s),Energy (tokens/kWh),Best Score (%)
float16,None,GPTQ.4bit,60,LLaMA,40901,12.5,121359,73.4
float16,BetterTransformer,BnB.4bit,60,LLaMA,43413,11.4,98039,73.4
float16,None,BnB.4bit,60,LLaMA,43415,10.5,97087,73.4
float16,None,GPTQ.4bit,35,LLaMA,32556,18.7,188679,68.4
float16,None,None,35,LLaMA,79692,16.7,150602,68.4
float16,BetterTransformer,BnB.4bit,35,LLaMA,32066,16.3,156494,68.4
float16,None,BnB.4bit,35,LLaMA,32068,14.8,153139,68.4
float16,None,GPTQ.4bit,13,LLaMA,14827,27.4,332225,66.2
float16,None,None,13,LLaMA,33433,27.0,255754,66.2
float16,BetterTransformer,BnB.4bit,13,LLaMA,14695,24.6,274725,66.2
float32,None,None,13,LLaMA,82527,22.9,208333,66.2
float16,None,BnB.4bit,13,LLaMA,14649,21.6,247524,66.2
float16,None,GPTQ.4bit,35,Falcon,33632,1.96,18181,63.4
float16,None,BnB.4bit,35,Falcon,34620,1.83,17094,63.4
float16,None,BnB.4bit,35,MPT,21997,27.7,239808,61.2
float16,None,None,35,MPT,66803,20.7,191938,61.2
float32,None,None,7,LLaMA,39192,36.6,330033,59.9
float16,None,None,7,LLaMA,17750,35.1,380228,59.9
float16,None,GPTQ.4bit,7,LLaMA,8609,34.5,446428,59.9
float16,BetterTransformer,BnB.4bit,7,LLaMA,8412,30.6,366300,59.9
float16,None,BnB.4bit,7,LLaMA,8397,27.5,369003,59.9
float16,None,GPTQ.4bit,35,GPT-BigCode,12247,54.6,529100,55.8
float16,BetterTransformer,BnB.4bit,35,GPT-BigCode,12791,46.5,418410,55.8
float16,None,None,35,GPT-BigCode,34354,43.1,389105,55.8
float16,None,BnB.4bit,35,GPT-BigCode,13078,38.5,401606,55.8
float32,None,None,35,GPT-BigCode,65484,23.7,219298,55.8
float16,None,None,7,MPT,16480,53.5,505050,52.8
float16,None,BnB.4bit,7,MPT,7177,45.9,543478,52.8
float32,None,None,7,MPT,32233,44.1,399999,52.8
float16,None,None,7,StableLM-Alpha,17989,41.5,408163,51.5
float32,None,None,7,StableLM-Alpha,36065,37.2,334448,51.5
float16,None,BnB.4bit,7,StableLM-Alpha,8567,35.3,434782,51.5
float32,None,None,7,GPT-J,34708,22.8,240384,49.6
float16,None,None,7,GPT-J,19298,22.6,294117,49.6
float16,None,GPTQ.4bit,7,GPT-J,11004,22.1,326797,49.6
float16,BetterTransformer,BnB.4bit,7,GPT-J,9119,20.8,294985,49.6
float16,None,BnB.4bit,7,GPT-J,9049,19.4,321543,49.6
float16,BetterTransformer,BnB.4bit,35,OPT,28725,26.5,229885,48.9
float16,None,GPTQ.4bit,35,OPT,30841,25.1,241545,48.9
float16,None,BnB.4bit,35,OPT,28725,21.7,196850,48.9
float16,None,None,35,OPT,73891,18.9,173310,48.9
float16,None,GPTQ.4bit,7,Bloom,9582,53.8,606060,48.5
float16,None,None,7,Bloom,18321,52.1,478468,48.5
