地区,年份,总人数,高学历人数占比,gdp,高学历人数,低学历人数
北京,2001,628.88,8.2,3861.5,51.56816,577.31184
天津,2001,488.34,3.6,1756.9,17.58024,470.75975999999997
河北,2001,3409.16,0.8,5062.9,27.27328,3381.88672
山西,2001,1399.5,1.7,2029.5,23.7915,1375.7085
内蒙古,2001,1067.0,1.6,1713.8,17.072,1049.928
辽宁,2001,2069.3,1.3,5033.1,26.9009,2042.3991
吉林,2001,1167.41,2.2,1900.9,25.683020000000006,1141.7269800000001
黑龙江,2001,1592.6,1.8,3043.4,28.6668,1563.9332
上海,2001,752.26,7.3,5257.7,54.91497999999999,697.34502
江苏,2001,4436.45,1.5,9456.8,66.54674999999999,4369.903249999999
浙江,2001,2796.65,1.0,6927.7,27.9665,2768.6835
安徽,2001,3463.02,1.3,3502.8,45.01926,3418.00074
福建,2001,1805.0,2.1,4072.9,37.905,1767.095
江西,2001,2054.8,1.0,2175.7,20.548000000000002,2034.2520000000002
山东,2001,5430.9,1.3,9076.2,70.6017,5360.2982999999995
河南,2001,5516.59,1.5,5533.0,82.74885,5433.84115
湖北,2001,3414.5,1.4,3880.5,47.80299999999999,3366.697
湖南,2001,3607.96,1.2,3831.9,43.295519999999996,3564.66448
广东,2001,4058.63,1.5,12126.6,60.87945,3997.75055
广西,2001,2578.3,0.8,2279.3,20.626400000000004,2557.6736
海南,2001,338.39,1.3,579.2,4.39907,333.99093
重庆,2001,1616.08,1.1,2014.6,17.776880000000002,1598.30312
四川,2001,4664.8,1.3,4293.5,60.64240000000001,4604.1576000000005
贵州,2001,2068.01,1.3,1133.3,26.884130000000006,2041.1258700000003
云南,2001,2322.53,0.7,2159.0,16.25771,2306.2722900000003
西藏,2001,126.33,0.1,139.2,0.12633,126.20367
陕西,2001,1784.8,1.3,2010.6,23.2024,1761.5976
甘肃,2001,1488.93,1.1,1125.4,16.378230000000002,1472.55177
青海,2001,285.66,1.1,300.1,3.1422600000000007,282.51774
宁夏,2001,278.99,1.9,337.4,5.30081,273.68919
新疆,2001,685.38,2.0,1491.6,13.7076,671.6724
北京,2002,679.2,11.4,4525.7,77.42880000000001,601.7712
天津,2002,492.61,5.4,1926.9,26.60094,466.00906000000003
河北,2002,3435.0,1.7,5518.9,58.395,3376.605
山西,2002,1403.39,1.7,2324.8,23.85763,1379.5323700000001
内蒙古,2002,1086.1,1.8,1940.9,19.549799999999998,1066.5502
辽宁,2002,2025.3,1.5,5458.2,30.379499999999997,1994.9205
吉林,2002,1186.6,2.5,2043.1,29.665,1156.935
黑龙江,2002,1588.6,1.5,3242.7,23.828999999999997,1564.771
上海,2002,792.04,7.0,5795.0,55.4428,736.5971999999999
江苏,2002,4472.84,1.2,10606.9,53.674080000000004,4419.16592
浙江,2002,2858.56,2.6,8040.7,74.32256000000001,2784.23744
安徽,2002,3500.5,0.9,3827.7,31.504500000000004,3468.9955
福建,2002,1840.0,2.2,4467.6,40.480000000000004,1799.52
江西,2002,2130.6,0.7,2450.5,14.9142,2115.6857999999997
山东,2002,5510.2,1.7,10076.5,93.6734,5416.5266
河南,2002,5522.03,1.6,6035.5,88.35248,5433.67752
湖北,2002,3443.0,1.3,4212.8,44.75900000000001,3398.241
湖南,2002,3644.52,1.4,4151.5,51.02327999999999,3593.49672
广东,2002,4134.37,2.3,13601.9,95.09051,4039.27949
广西,2002,2589.03,0.9,2523.7,23.301270000000002,2565.7287300000003
海南,2002,349.89,1.0,642.7,3.4989,346.3911
重庆,2002,1551.77,1.0,2279.8,15.5177,1536.2522999999999
四川,2002,4667.6,1.3,4725.0,60.67880000000001,4606.921200000001
贵州,2002,2106.14,1.2,1243.4,25.27368,2080.86632
云南,2002,2341.25,0.7,2358.7,16.38875,2324.86125
西藏,2002,130.2,0.0,162.0,0.0,130.2
陕西,2002,1874.0,1.0,2253.4,18.74,1855.26
甘肃,2002,1500.59,0.8,1232.0,12.004719999999999,1488.58528
青海,2002,287.72,1.4,340.7,4.02808,283.69192000000004
宁夏,2002,282.4,1.4,377.2,3.9536,278.4464
新疆,2002,701.49,3.5,1612.6,24.55215,676.93785
北京,2003,703.28,13.77,5267.2,96.84165599999999,606.438344
天津,2003,510.9,4.91,2257.8,25.085189999999997,485.81480999999997
河北,2003,3470.23,2.35,6333.6,81.550405,3388.679595
山西,2003,1469.5,1.98,2854.3,29.0961,1440.4039
内蒙古,2003,1005.2,1.93,2388.4,19.40036,985.7996400000001
辽宁,2003,2018.9,3.35,5906.3,67.63315,1951.26685
吉林,2003,1202.5,2.28,2141.0,27.416999999999998,1175.083
黑龙江,2003,1623.3,1.59,3609.7,25.81047,1597.48953
上海,2003,813.05,7.89,6804.0,64.14964499999999,748.900355
江苏,2003,4499.97,2.05,12442.9,92.249385,4407.720615
浙江,2003,2918.74,2.74,9753.4,79.973476,2838.7665239999997
安徽,2003,3544.9,1.51,4307.8,53.52799,3491.37201
