地区,年份,总人数,高学历人数占比,gdp,高学历人数,低学历人数,x,a
北京,2001,628.88,8.2,3861.5,51.56816,577.31184,973.9649711883401,3.9647216421844846
天津,2001,488.34,3.6,1756.9,17.58024,470.75976,670.2858113081189,2.6211206777169616
河北,2001,3409.16,0.8,5062.9,27.27328,3381.88672,4016.564785765939,1.2605050011746617
山西,2001,1399.5,1.7,2029.5,23.7915,1375.7085,1761.3296216605272,1.1522545099120345
内蒙古,2001,1067.0,1.6,1713.8,17.072,1049.928,1334.763857277266,1.2839724350162698
辽宁,2001,2069.3,1.3,5033.1,26.9009,2042.3991,2538.0957932797187,1.983022080303851
吉林,2001,1167.41,2.2,1900.9,25.68302000000001,1141.72698,1509.8891781225807,1.2589665702244506
黑龙江,2001,1592.6,1.8,3043.4,28.6668,1563.9332,2016.0759037194916,1.5095661797183237
上海,2001,752.26,7.3,5257.7,54.91497999999999,697.34502,1143.6405709352448,4.597336028137201
江苏,2001,4436.45,1.5,9456.8,66.54674999999999,4369.903249999999,5514.972802915056,1.7147500700277991
浙江,2001,2796.65,1.0,6927.7,27.9665,2768.6835,3353.1763231968457,2.066011247924857
安徽,2001,3463.02,1.3,3502.8,45.01926,3418.00074,4247.560283208588,0.8246616331373173
福建,2001,1805.0,2.1,4072.9,37.905,1767.095,2322.616599328113,1.7535825762970132
江西,2001,2054.8,1.0,2175.7,20.548,2034.252,2463.7000371533363,0.8831026371675896
山东,2001,5430.9,1.3,9076.2,70.6017,5360.2983,6661.259577501002,1.3625351023184376
河南,2001,5516.59,1.5,5533.0,82.74885,5433.84115,6857.700146475936,0.8068302611398548
湖北,2001,3414.5,1.4,3880.5,47.80299999999999,3366.697,4216.842113293325,0.9202383906589653
湖南,2001,3607.96,1.2,3831.9,43.29552,3564.66448,4393.667330466324,0.8721415873771444
广东,2001,4058.63,1.5,12126.6,60.87945,3997.75055,5045.302903694426,2.4035425090375226
广西,2001,2578.3,0.8,2279.3,20.626400000000004,2557.6736,3037.671739413908,0.7503444070094851
海南,2001,338.39,1.3,579.2,4.39907,333.99093,415.0515804803188,1.3954892048109306
重庆,2001,1616.08,1.1,2014.6,17.776880000000002,1598.30312,1953.2021901202331,1.0314344363273458
四川,2001,4664.8,1.3,4293.5,60.64240000000001,4604.1576000000005,5721.601148451761,0.7504018348363554
贵州,2001,2068.01,1.3,1133.3,26.88413000000001,2041.1258700000003,2536.513546349195,0.4467943810633927
云南,2001,2322.53,0.7,2159.0,16.25771,2306.2722900000003,2709.800995928463,0.7967374738011928
西藏,2001,126.33,0.1,139.2,0.12633,126.20367,134.31581483158735,1.0363634407053013
陕西,2001,1784.8,1.3,2010.6,23.2024,1761.5976,2189.142884958991,0.9184416484708645
甘肃,2001,1488.93,1.1,1125.4,16.378230000000002,1472.55177,1799.5280783969342,0.6253861851394591
青海,2001,285.66,1.1,300.1,3.1422600000000007,282.51774,345.25007278708085,0.8692250158773309
宁夏,2001,278.99,1.9,337.4,5.30081,273.68919,355.16806495951175,0.9499727967897753
新疆,2001,685.38,2.0,1491.6,13.7076,671.6724,877.2864,1.7002429309288278
北京,2002,679.2,11.4,4525.7,77.42880000000001,601.7712,1110.9148220321376,4.073849686982641
天津,2002,492.61,5.4,1926.9,26.60094,466.00906,715.2871568393704,2.693883123128293
河北,2002,3435.0,1.7,5518.9,58.395,3376.605,4323.091997430447,1.2766094275301834
山西,2002,1403.39,1.7,2324.8,23.85763,1379.53237,1766.2253502980825,1.3162533306452928
内蒙古,2002,1086.1,1.8,1940.9,19.5498,1066.5502,1374.8964203376486,1.4116699783997924
辽宁,2002,2025.3,1.5,5458.2,30.3795,1994.9205,2517.660385610987,2.167965159715297
吉林,2002,1186.6,2.5,2043.1,29.665,1156.935,1557.1157312449773,1.3121054260793181
黑龙江,2002,1588.6,1.5,3242.7,23.829,1564.771,1974.796468958482,1.6420426362774574
上海,2002,792.04,7.0,5795.0,55.4428,736.5971999999999,1196.2132858077582,4.844453801636932
江苏,2002,4472.84,1.2,10606.9,53.67408,4419.16592,5446.89269903297,1.947330448033817
浙江,2002,2858.56,2.6,8040.7,74.32256000000001,2784.23744,3768.354821239704,2.1337428085805334
安徽,2002,3500.5,0.9,3827.7,31.504500000000004,3468.9955,4161.677642482714,0.9197492763318702
福建,2002,1840.0,2.2,4467.6,40.48,1799.52,2379.7946631822147,1.877304823444731
江西,2002,2130.6,0.7,2450.5,14.9142,2115.6858,2485.8675676633598,0.9857725455195491
山东,2002,5510.2,1.7,10076.5,93.6734,5416.5266,6934.818493228891,1.453030098745717
河南,2002,5522.03,1.6,6035.5,88.35248,5433.67752,6907.7845012191,0.8737244190137724
湖北,2002,3443.0,1.3,4212.8,44.75900000000001,3398.241,4223.0047920852785,0.997583523441791
湖南,2002,3644.52,1.4,4151.5,51.02327999999999,3593.49672,4500.912408475558,0.9223685384728688
广东,2002,4134.37,2.3,13601.9,95.09051,4039.27949,5373.881430744615,2.531112786036162
广西,2002,2589.03,0.9,2523.7,23.30127,2565.7287300000003,3078.048355011291,0.8199026489922516
海南,2002,349.89,1.0,642.7,3.4989,346.3911,419.5172308738471,1.531999052008584
重庆,2002,1551.77,1.0,2279.8,15.5177,1536.2523,1860.5683310557881,1.2253245215166686
四川,2002,4667.6,1.3,4725.0,60.67880000000001,4606.921200000001,5725.035482874602,0.8253223956661884
贵州,2002,2106.14,1.2,1243.4,25.27368,2080.86632,2564.7952059857494,0.48479504215312724
云南,2002,2341.25,0.7,2358.7,16.38875,2324.86125,2731.6424682210836,0.863473176830512
西藏,2002,130.2,0.0,162.0,0.0,130.2,130.2,1.2442396313364057
陕西,2002,1874.0,1.0,2253.4,18.74,1855.26,2246.921291427561,1.0028833713922942
甘肃,2002,1500.59,0.8,1232.0,12.00472,1488.58528,1767.9478088070116,0.6968531502246877
青海,2002,287.72,1.4,340.7,4.02808,283.69192000000004,355.32869024359513,0.9588305401582786
宁夏,2002,282.4,1.4,377.2,3.9536,278.4464,348.75859212008646,1.0815504148787263
新疆,2002,701.49,3.5,1612.6,24.55215,676.93785,959.3293269761423,1.6809660193366567
北京,2003,703.28,13.77,5267.2,96.841656,606.438344,1187.9592485545786,4.4338221251349665
天津,2003,510.9,4.91,2257.8,25.08519,485.81481,731.6872896130019,3.08574445948648
河北,2003,3470.23,2.35,6333.6,81.550405,3388.679595,4521.6066088086345,1.4007410524527686
山西,2003,1469.5,1.98,2854.3,29.0961,1440.4039,1878.9393039989689,1.5191017580637967
内蒙古,2003,1005.2,1.93,2388.4,19.40036,985.79964,1281.785378528008,1.8633384652451093
辽宁,2003,2018.9,3.35,5906.3,67.63315,1951.26685,2745.454398668337,2.15130143952302
吉林,2003,1202.5,2.28,2141.0,27.417,1175.083,1561.4832899230826,1.371132188103956
黑龙江,2003,1623.3,1.59,3609.7,25.81047,1597.48953,2029.4130659773414,1.7786916131150514
上海,2003,813.05,7.89,6804.0,64.14964499999999,748.900355,1251.4183013796683,5.437030921234491
江苏,2003,4499.97,2.05,12442.9,92.249385,4407.720615,5775.288808746381,2.154506971349357
浙江,2003,2918.74,2.74,9753.4,79.973476,2838.766524,3871.684964783838,2.5191615766042954
安徽,2003,3544.9,1.51,4307.8,53.52799,3491.37201,4409.506560321075,0.9769347071084368
福建,2003,1858.0,1.89,4999.6,35.1162,1822.8838,2364.014830207811,2.1148767495508927
江西,2003,2168.2,2.21,2812.7,47.91722,2120.28278,2805.6890004744296,1.002498851271251
山东,2003,5541.0,2.07,10903.2,114.6987,5426.3013,7118.833584277263,1.5315992249181007
河南,2003,5535.68,0.7,6942.4,38.74976,5496.930240000001,6458.728704103404,1.0748864549132255
湖北,2003,3476.0,1.31,4757.5,45.5356,3430.4644,4266.463799886219,1.1150920816735574
湖南,2003,3694.78,1.04,4660.0,38.425712,3656.354288,4444.441301764078,1.0485007413981062
广东,2003,4395.93,1.91,15979.8,83.96226300000001,4311.967737,5599.329466813091,2.8538774320588507
广西,2003,2601.37,1.8,2798.2,46.82466,2554.54534,3293.0801040178153,0.8497212067771983
海南,2003,360.34,2.2,714.0,7.92748,352.41252,466.05174398428215,1.5320187279978938
重庆,2003,1499.99,1.06,2615.6,15.899894000000002,1484.090106,1807.2154896446502,1.4473094188199445
四川,2003,4683.5,1.32,5346.2,61.8222,4621.6778,5752.559940858624,0.9293601552984477
贵州,2003,2145.0,2.54,1429.0,54.483,2090.517,2819.974481624305,0.5067421741975822
云南,2003,2353.33,0.58,2633.4,13.649314,2339.680686,2710.7375340165595,0.9714699291074608
西藏,2003,132.81,0.07,186.0,0.092967,132.717033,139.83518452623446,1.330137337252947
陕西,2003,1912.1,2.25,2587.7,43.02224999999999,1869.07775,2479.239948266519,1.0437472991709882
甘肃,2003,1510.85,1.51,1399.9,22.813835,1488.036165,1879.3486379477827,0.7448857395233848
青海,2003,289.8,1.88,385.0,5.448239999999999,284.35176,368.5201786812607,1.04471891166913
宁夏,2003,291.4,1.66,442.6,4.83724,286.56276,365.86268448511373,1.2097434878412932
新疆,2003,721.27,4.95,1889.2,35.702865,685.567135,1034.1706926763939,1.826777739282887
北京,2004,854.07,16.27,6252.5,138.957189,715.1128110000001,1484.5303588948261,4.211769710560003
天津,2004,527.78,7.57,2621.1,39.952946,487.827054,806.9940966770916,3.2479791497766053
河北,2004,3516.71,2.26,7588.6,79.477646,3437.232354,4562.0484834606605,1.663419410712503
山西,2004,1474.61,2.08,3496.0,30.671888,1443.9381119999998,1895.50574980128,1.8443626458883133
内蒙古,2004,1026.1,2.29,2942.4,23.49769,1002.60231,1333.0777729651702,2.2072230590531925
辽宁,2004,2097.3,2.94,6469.8,61.66062000000001,2035.63938,2805.8726110067073,2.305806747826206
吉林,2004,1222.0,2.32,2455.2,28.3504,1193.6496,1589.915444741533,1.5442330647961804
黑龙江,2004,1681.06,1.39,4134.7,23.366734,1657.693266,2074.6835643363506,1.9929304261503642
上海,2004,836.87,10.56,8101.6,88.373472,748.496528,1351.2521029519016,5.9956243415285035
江苏,2004,4537.07,1.81,14823.1,82.12096700000001,4454.949033,5746.771984003787,2.5793784826090693
浙江,2004,2991.95,3.75,11482.1,112.198125,2879.751875,4128.792576331893,2.780982524000017
安徽,2004,3605.2,1.68,5129.1,60.56736,3544.63264,4531.890975837427,1.1317792125509414
福建,2004,1886.0,2.25,5712.1,42.435,1843.565,2445.398536912638,2.335856472381649
江西,2004,2213.98,1.45,3398.1,32.102709999999995,2181.87729,2743.2971975156524,1.2386918934912852
山东,2004,5622.4,2.18,13308.1,122.56832,5499.831679999999,7264.478109348489,1.8319416480688564
河南,2004,5587.45,1.45,8411.2,81.018025,5506.431975,6923.294666735394,1.214912899838512
湖北,2004,3507.0,1.58,5546.8,55.4106,3451.5894,4381.653393311065,1.2659148276008372
湖南,2004,3747.1,1.45,5542.6,54.33295,3692.76705,4642.954737084752,1.1937656759238888
广东,2004,4681.89,1.95,18658.3,91.296855,4590.593145000001,5976.659039980583,3.121861206266941
广西,2004,2631.78,1.63,3305.1,42.898014,2588.8819860000003,3298.2870012528774,1.0020656173172724
海南,2004,367.74,1.83,802.7,6.729642,361.010358,466.31931766109636,1.7213526645777362
重庆,2004,1471.34,1.27,3059.5,18.686018,1452.6539819999998,1800.8506581306508,1.698919333586425
四川,2004,4691.0,1.05,6304.0,49.255500000000005,4641.7445,5647.308415145971,1.1162839952379429
贵州,2004,2186.0,1.85,1649.4,40.441,2145.559,2775.1300417361176,0.5943505259912568
云南,2004,2401.39,1.54,3136.4,36.981406,2364.408594,2992.7922460714976,1.0479845382241315
西藏,2004,137.3217,0.0,217.9,0.0,137.3217,137.3217,1.5867848999830327
陕西,2004,1941.1,3.04,3141.6,59.00944,1882.09056,2607.6166463784275,1.2047783190689445
甘肃,2004,1520.46,2.18,1653.6,33.146028,1487.313972,1964.5255382292266,0.8417299586191752
青海,2004,290.42,1.81,443.7,5.256602,285.16339800000003,367.85359705589286,1.2061863837981792
宁夏,2004,298.1,2.97,519.9,8.853570000000001,289.24643000000003,399.3099504051869,1.3019961047112605
新疆,2004,744.49,3.45,2170.4,25.684905000000004,718.805095,1016.2431275153314,2.1357093998820247
北京,2005,878.0,16.385,7149.8,143.8603,734.1397,1527.964791304606,4.6792963036113955
天津,2005,542.52,6.488,3158.6,35.1986976,507.3213024,809.7805403662559,3.900562982868662
河北,2005,3568.97,1.81,8773.4,64.598357,3504.371643,4520.551106275634,1.9407810671182033
山西,2005,1500.2,2.254,4079.4,33.814508000000004,1466.385492,1945.5542587662906,2.0967803810245917
内蒙古,2005,1041.13,2.995,3523.7,31.181843500000003,1009.9481565,1396.0499648320533,2.5240500617926704
辽宁,2005,2120.3,3.552,7260.8,75.313056,2044.986944,2905.192900293386,2.4992488448070884
吉林,2005,1238.9,2.996,2776.5,37.117444,1201.782556,1661.3078442572148,1.6712736351650692
黑龙江,2005,1748.8,2.702,4756.4,47.252576,1701.547424,2315.90668827008,2.053796046313465
上海,2005,863.32,10.54,9197.1,90.993928,772.3260720000001,1393.5161259311155,6.5999236240303345
江苏,2005,4578.75,2.754,18121.3,126.098775,4452.651225,6077.381195424342,2.9817612911369653
浙江,2005,3100.76,2.351,13028.3,72.8988676,3027.8611324000003,4040.3932216391972,3.22451288409854
安徽,2005,3669.72,1.534,5675.9,56.2935048,3613.4264952,4571.745369381568,1.2415170884217013
福建,2005,1923.0,2.425,6415.5,46.63275,1876.36725,2514.6085356971703,2.5512917453854564
江西,2005,2276.71,1.403,3941.2,31.9422413,2244.7677587,2812.25799378153,1.4014361444486205
山东,2005,5689.2,1.673,15947.5,95.180316,5594.019684,7148.570496115827,2.23086559874664
河南,2005,5662.41,1.464,10243.5,82.8976824,5579.5123176,7022.599163390581,1.4586479680344357
湖北,2005,3537.0,2.003,6469.7,70.84611000000001,3466.15389,4528.087321617764,1.4287931173748984
湖南,2005,3801.48,1.653,6369.9,62.8384644,3738.6415356,4770.872578967185,1.3351645625754645
广东,2005,5022.97,2.505,21963.0,125.8253985,4897.1446015,6592.919261595241,3.3313012231073147
广西,2005,2703.06,1.46,3742.1,39.464676,2663.595324,3351.497896661738,1.1165455313957742
海南,2005,379.55,2.174,884.9,8.251417,371.298583,490.2521127141142,1.8049896717447107
重庆,2005,1456.3,1.823,3448.4,26.548349,1429.751651,1845.953927551483,1.8680856269116313
四川,2005,4702.0,1.37,7195.9,64.4174,4637.5826,5795.14411378782,1.241712002101811
贵州,2005,1944.29,1.364,1939.9,26.520115600000004,1917.7698844,2395.3309250987613,0.809867221131467
云南,2005,2461.32,1.273,3497.7,31.3326036,2429.9873964000003,3013.181692254127,1.1607995657850325
西藏,2005,143.6,0.2,243.1,0.2872,143.31279999999998,156.43112405987875,1.5540385678424589
陕西,2005,1976.0,2.649,3817.2,52.34424,1923.65576,2610.640997033197,1.462169637394789
甘肃,2005,1391.36,1.545,1864.6,21.496512,1369.863488,1734.5642360353606,1.0749673959967363
青海,2005,291.04,3.035,499.4,8.833064,282.20693600000004,390.8949333169255,1.2775811540005353
宁夏,2005,299.6,2.99,579.9,8.95804,290.64196000000004,401.6506208380607,1.4437921166162138
新疆,2005,791.62,3.567,2520.5,28.2370854,763.3829146,1085.2572493568287,2.3224908209493735
北京,2006,919.7,19.401,8387.0,178.43099700000002,741.269003,1647.0661175789976,5.092084592407224
天津,2006,562.92,7.562,3538.2,42.568010400000006,520.3519895999999,860.5798656517435,4.111413874783618
河北,2006,3609.99,1.424,10043.0,51.4062576,3558.5837424,4465.4044552273745,2.249068388025474
山西,2006,1561.16,2.746,4713.6,42.86945360000001,1518.2905464,2071.408120546126,2.2755535006579297
内蒙古,2006,1051.2,2.006,4161.8,21.087072,1030.112928,1345.9681494386177,3.0920493933945035
辽宁,2006,2128.1,3.589,8390.3,76.377509,2051.722491,2919.820791748846,2.8735667694778533
吉林,2006,1250.5,2.395,3226.5,29.949475000000003,1220.550525,1632.8864403177731,1.9759487986023674
黑龙江,2006,1784.1,2.448,5329.8,43.67476799999999,1740.4252319999998,2335.507900665002,2.2820732049257537
上海,2006,885.51,14.455,10598.9,128.0004705,757.5095295,1508.2830764387095,7.027129167971339
江苏,2006,4628.95,2.78,21240.8,128.68480999999997,4500.26519,6150.943128663546,3.4532590459205106
浙江,2006,3172.38,3.757,15302.7,119.1863166,3053.1936834000003,4378.860681968563,3.4946761524096974
安徽,2006,3741.0,1.109,6500.3,41.48769,3699.51231,4524.541242994812,1.4366760409277264
福建,2006,1958.0,2.035,7468.6,39.8453,1918.1547,2510.917532613716,2.974450535707412
江西,2006,2321.07,2.127,4696.8,49.3691589,2271.7008411,2990.8519340577336,1.5703886730453358
山东,2006,5756.3,1.676,18967.8,96.475588,5659.824412,7234.183470540833,2.621968336473771
河南,2006,5718.72,0.955,11977.9,54.613776,5664.106224,6831.083660962981,1.7534406829840332
湖北,2006,3564.0,3.133,7531.8,111.66012,3452.33988,4805.754702478048,1.567246034450383
湖南,2006,3842.17,1.914,7431.6,73.5391338,3768.6308662,4895.0552729757255,1.518185104267944
广东,2006,5177.02,2.694,25961.2,139.4689188,5037.5510812,6853.423057375803,3.7880632470309843
广西,2006,2760.0,1.26,4417.8,34.776,2725.224,3375.7024925205355,1.308705376077547
海南,2006,389.03,1.976,1027.5,7.687232799999999,381.3427672,497.3161141248056,2.0660903011522773
重庆,2006,1454.77,1.859,3900.3,27.0441743,1427.7258257,1847.7670284001765,2.1108180523044275
四川,2006,4715.0,1.093,8494.7,51.53495,4663.46505,5695.472209047246,1.4914830040793083
贵州,2006,1953.24,0.896,2264.1,17.5010304,1935.7389696,2321.356430241489,0.9753349250913904
云南,2006,2517.6,1.106,4090.7,27.844656,2489.755344,3044.1980671359956,1.343769330964907
西藏,2006,148.198,0.0,285.9,0.0,148.198,148.198,1.92917583233242
陕西,2006,1986.0,2.443,4595.6,48.51798,1937.48202,2599.1972403614345,1.7680843641404274
甘肃,2006,1401.36,0.783,2203.0,10.9726488,1390.3873512,1648.3922416259047,1.3364537543728388
