地区,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
北京,618.58,619.29,628.88,679.2,703.28,854.07,878,919.7,942.7,980.9,998.3,1067.3,1090.1,1115.3,1137.2,1141.8,1164.4,1187.6,1191.3,1189.6,1183.5,1163.8,1158,1132.1
天津,508.14,486.89,488.34,492.61,510.9,527.78,542.52,562.92,613.93,647.32,677.13,667,677,693,711,718,718,705,684,672,659,647,641,621
河北,3322.3,3385.71,3409.16,3435,3470.23,3516.71,3568.97,3609.99,3664.97,3725.66,3792.49,4135,4087,4063,4032,3978,3927,3871,3795,3739,3702,3671,3643,3580
山西,1402.19,1392.4,1399.5,1403.39,1469.5,1474.61,1500.2,1561.16,1595.65,1614.05,1600.59,1802,1817,1834,1855,1842,1827,1832,1812,1789,1762,1738,1715,1672
内蒙古,1056.7,1061.6,1067,1086.1,1005.2,1026.1,1041.13,1051.2,1081.53,1103.28,1142.5,1398,1388,1379,1370,1360,1351,1326,1317,1304,1272,1242,1218,1190
辽宁,1994.4,2052,2069.3,2025.3,2018.9,2097.3,2120.3,2128.1,2180.7,2198.2,2277.1,2317.5,2364.88,2423.82,2518.88,2562.23,2409.89,2301.16,2284.66,2260.6,2238.43,2231,2190,2122
吉林,1120.01,1164.02,1167.41,1186.6,1202.5,1222,1238.9,1250.5,1266.1,1281.4,1297.3,1563.98,1524.99,1489.99,1457,1427.01,1399,1367.99,1339,1314.01,1286,1261,1228.44,1185
黑龙江,1654.1,1600.7,1592.6,1588.6,1623.3,1681.06,1748.8,1784.1,1827.6,1852.4,1877,2102,2066,2039,1997,1946,1825,1776,1699,1635,1551,1473,1420,1351
上海,677.32,828.35,752.26,792.04,813.05,836.87,863.32,885.51,1024.33,1053.24,1064.42,1090.76,1104.33,1115.5,1368.91,1365.63,1361.51,1365.24,1372.65,1375.66,1376.2,1374,1365,1347
江苏,4390.71,4418.14,4436.45,4472.84,4499.97,4537.07,4578.75,4628.95,4677.88,4700.96,4726.54,4724.68,4749.23,4770.54,4791.9,4812.82,4832.5,4850.22,4872.8,4886.9,4903.2,4893,4862.86,4805
浙江,2625.17,2726.09,2796.65,2858.56,2918.74,2991.95,3100.76,3172.38,3220.29,3252.35,3288.29,3352,3385,3407,3436,3459,3505,3552,3613,3691,3771,3857,3897,3885
