地区,k1
北京,0.0007172304845246588
天津,0.0002708581134921765
河北,1.4684172333515282e-05
山西,8.807833962267564e-05
内蒙古,7.953153326654044e-05
辽宁,1.1238026379326232e-05
吉林,5.031408041367788e-05
黑龙江,1.5909038245973852e-05
上海,0.000560721127768254
江苏,6.632270553410865e-05
浙江,1.551152014326223e-05
安徽,1.1877319277340538e-05
福建,0.00010546295659431026
江西,3.0836042633724995e-05
山东,5.3355559898045184e-05
河南,1.0155598936761942e-05
湖北,7.833293325096484e-05
湖南,1.7772264179923412e-05
广东,8.292434562278161e-05
广西,9.814490571235303e-06
海南,2.855600370730698e-05
重庆,2.9013879976232573e-05
四川,2.5975431217093e-05
贵州,1.3769473711616806e-05
云南,1.556206025937644e-05
西藏,3.987108500252101e-07
陕西,1.87205347827816e-05
甘肃,1.058222252427667e-05
青海,2.987786000509637e-05
宁夏,3.666314737752976e-05
新疆,5.224536001431543e-05
